کد,عنوان,تلفن,آدرس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100029,سوپر ارکیده مینی سیتی- 10112,09127968244/22468542 ,مینی سیتی بلواراوشان گلزار1شرقی خ احمدلوپ1_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100030,بازار روز ازگل- 10511,9149318904,اتوبان ارتش-خیابان ازگل-تره بار ازگل-غرفه 21.م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100031,تره بار ازگل- 10759,9186556365,تره بار ازگل-غرفه 21-م..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100032,بازار روز لاله(شهرک لاله)- 10560,9193511203,انتهای اتوبان ارتش-شهرک لاله-تره بار لاله غرفه 1 _م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100033,تره بار لاله - 10760,9189770992,ارتش-شهرک لاله-تره بار لاله غرفه ا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100034,بوفه شهربازی خ شریعتی- 10571,09192219003_09191451416,بعداز پل صدر شهربازی مجتمع ورزشی چمران طبقه همکف _م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100035,فروشگاه دانشگاه علوم وفنون - 10069,9192221728,زعفرانیه نبش جنوبی خ آصف پ12_م یك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100036,تره بار غرفه 45 فرمانیه- 10599,09192461922 *09191403687*,نیاوران جنب کلانتری خ آقایی انتهای خ نرسیده به فرمانیه _م1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100037,آقای علیدوستی- 10762,9192573018,فرمانیه -آبکوی چهارم-نبش بن بست دوم-پ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100038,تره بار جماران- 10763,9193084912,نیاوران-خیابان جماران-تره بار جماران-غرفه 7-م..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
