کد,عنوان,تلفن,آدرس,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200259,سوپر مارکت هاما- 20491,44205715,بلوار مرزداران خیابان حضرت ابولفضل كوچه سادات پ34 _م2رسولیان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200260,سوپر نوشین فر  ستارخان- 20764,44206656,خسروشمالی روبروی تره بار(شهروند)نبش خ15پ54_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200261,سوپر مارکت شانجانی- 20338,44207311, فلكه اول صادقیه-گلنازجنوبی-نبش خیابان اكرمی-پلاک44_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200262,سوپر شهرک مرزداران- 20457,44207363,مرزداران بین دانش وسرسبزپ64_م5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200263,سوپر مارکت پارت- 20527,44207396,ستارخان-بعد از پل تاج-خیابان رحیمی اصل-پلاک 29 ..م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200264,سوپر فرشتگان شهرک ژاندارمری- 20472,44207455,خ فرشتگان نبش فرشته 1 پ6/1قدیم 8جدید/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200265,سوپر تیموری بلوار مرزداران- 20482,44208331,خ ایثار جنب داروخانه سعادت نبش ك نامدار 4پ12/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200266,سوپر دوستان اشرفی اصفهانی- 20799,44210074--75,نرسیده به پل همت -ابتدای خیابان پارک- پلاک31  _م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200267,سوپر مارکت پاسارگاد- 20528,44210631,ستارخان-خیابان سازمان آب-8شمالی-یکم غربی-پلاک16.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200268,سوپر پروتئین خورشید- 20452,44211074,خ ستارخان ازغرب به شرق  بعد از كاشانی پور پ678/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200269,سوپر مارکت یونیک- 20535,44211800,ژاندارمری-زیر پل یادگار- خیابان گلستان-پلاک 10.م.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200270,سوپر مارکت سعید- 20608,44212457,خیابان ستارخان-خیابان سازمان آب-جنب مسجد شهدا-پلاك 72.... م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200271,سوپر  مارکت محمدی- 20353,44213001,مرزداران-خ آریافر-خ جانبازان شرقی-خ کمالونبش گلدیس3.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200272,سوپر آذربایجان ستارخان - 20480,44213137,برق آلستوم كاشانی پور نبش دستینه پ39_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200273,سوپر مارکت محمد- 20276,44213659,بلوارمرزداران-خ بهار-پایین م علایی پور-نبش  شاهین غربی پ4_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200274,سوپرمیلاد- 20912,44213810--88254025,مرزداران خ ایثارخ بهار نبش میدان بهشتی پ12_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200275,سوپر آرش محمدعلی جناح- 20434,44214051,30متری گلها پ37/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200276,سوپر بزرگ مرزداران- 20984,44214316,بلوارمرزداران-بین خیابان ایثارو خیابان دانش-پلاك132_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200277,سوپر مارکت پارس - 20352,44214469,مرزداران(شهرک ژاندارمری)-خیابان ناهید-نبش یگانه غربی-پ24_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200278,سوپر مارکت سیروس- 20530,44214949,بلوار مرزداران-خیابان ناهید -بلوار عرب حسینی- پلاک17_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200279,سوپر یگانه مرزداران- 20459,44215140,خ مرزداران خ بهارنبش یگانه غربی پ31_م5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200280,سوپر مارکت سید- 20637,44215206,آریاشهر-بلوارشهدای صادقیه شمالی-پلاک22_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200281,سوپر امید ستارخان- 20223,44215424,خ كاشانی پور جنب نان بربری پ30_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200282,سوپر حسینی دریانی صادقیه- 20498,44215457,خ سازمان آب خ حاجی پور امیر نبش ك احمدی پ46/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200283,سوپر رضا اشرفی اصفهانی- 20464,44215818,اشرفی اصفهانی قبل همت جنب مسجدالرضا نبش ک آذری پ227_م5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200284,سوپر دریانی فلکه اول صادقیه- 20638,44215987,گلنازجنوبی خ داوداسدی نبش15متری بهاران پ134_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200285,سوپرمارکت ساحل - 20584,44216072,بین یادگار وپل تاج-خ رحیمی اصل-خ یکم-خ تکبیری پلاک33م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200286,سوپر امین مرزداران- 20286,44216645,خ ایثار اول كوچه ابوذر پ 8_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200287,سوپر مارکت گل نرگس- 20639,44216935, فلكه اول صادقیه-خیابان گلنازجنوبی-خیابان27غربی-پلاک8_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200288,سوپر مارکت میلاد- 20337,44217360,بین فلكه اول ودوم صادقیه-بلوار شهدادی جنوبی-نبش 19-پلاك22_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200289,سوپر پردیس آریا شهر - 20478,44217752,خ سازمان آب بعد از مسجد الشهدا پ72/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200290,سوپر حسین مردی صادقیه- 20634,44217827,بلوارشهیدگلاب خ حسینمردی نبش ك طاهری پ19_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200291,سوپر مارکت پردیسان- 20284,44218067,مرزداران ایثارخ بلال جنب مسجدامیرالمومنین جنب خشکشویی پ12_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200292,سوپر پاک آریا شهر- 20477,44218272,خ سازمان آب پاك شمالی نبش ك قائم پ42/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200293,سوپر مارکت دریانی- 20517,44218479,ستارخان قبل صادقیه-نرسیده به فلكه اول-خیابان اسدی-پلاک86م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200294,سوپر لبنیات غرب (دهقان)- 20487,44218825,اشرفی اصفهانی جنوب به شمال 300متربه همت جنب خ حیدری پ261_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200295,سوپر مارکت گوهری- 20501,44218831/44202480 ,ستارخان-20متری سازمان آب-نبش خیابان هشتم شمالی-پلاک1_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200296,سوپر پژمان بلوارمرزداران- 20965,44219958,خ بهارم علایی پور پ18_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200297,سوپر مارکت لادن- 20656,44220473,شرق به غرب بین یادگار و اشرفی  زیر از پل یادگارخ لادن پ12_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200298,سوپر سن سون خ ستار خان- 20339,44220588,اول خسرو جنوبی پ108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200299,سوپر مارکت مهدی- 20559,44220814,مرزداران-35 متری لاله-بوستان هفتم شرقی-پلاک 9.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200300,سوپر مارکت گلچین دریانی- 20557,44221576,ستارخان-خیابان رحیمی اصل-خیابان رئیسی-خ جلیل پور-پلاک51 /م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200301,سوپر یاران دریان (بهار) -  20949,44222066,مرزداران - خ بهارنبش خ گلبرگ غربی پ34_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200302,فروشگاه صادقیه- 20507,44222738,ستارخان-خیابان خسرو شمالی-روبروی تره بار ستارخان-پلاک36...م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200303,سوپر مهر صادقیه- 20255,44222970,فلكه دوم اشرفی اصفهانی جلال آل احمدكوچه امیركبیرپ9-م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200304,سوپر مارکت مجید دریانی- 20420,44223079,مرزداران(شهرک ژاندارمری)-خیابان ناهید-خیابان وحدتی-پلاک35.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200305,سوپر مارکت نمونه- 20669,44223351,ستارخان- فلکه اول-خ هشتم جنوبی- خ هفدهم(کسرایی)-پلاک64-م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200306,سوپر مارکت وحید - 20486,44223426,مرزداران-اشرفی اصفهانی-جنب خیابان سادات-پ157_م5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200307,سوپر مارکت گلستان- 20929,44223605,بلوارمرزداران-انتهای خیابان ناهید-خیابان گلستان6-پلاک32_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200308,سوپر مارکت پردیسان- 20971,44223718,مرزداران- زیرپل یادگارضلع شمال غربی ك لادن نبش10متری2پ8_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200309,سوپر مارکت پاک- 20907,44223982,بلوار مزرداران-بلوارشقایق-پلاک32_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200310,سوپر مارکت طباطبائی- 20560,44224468,جلال ال احمد-خیابان شقایق-نبش کوچه پنجم-پلاک62.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200311,سوپر مارکت ایرانیان- 20422,44224771,شهرك ژاندارمری(بلوارمرزداران)- بلواردانش-نبش جانبازان_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200312,سوپر کال سیس محمدعلی جناح- 20432,44224995,بلوار گلاب خ حسینی پ32/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200313,سوپر مارکت سعید- 20305,44225117,بلوارمرزداران-خ ابوالفضل-بوستان4غربی نبش میدان گلها-پ14_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200314,سوپر بهنام ستارخان- 20431,44225573,24متری خسرو جنوبی مقابل مدرسه ابو علی سینا پ24/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200315,سوپر دوستان مرزداران - 20283,44225592,خ ناهیدجنوبی خ طالقانی روبروی مدرسه نیكان_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200316,سوپر تک اشرفی خ اشرفی اصفهانی- 20463,44225988,بالای سه راه مرزداران روبروی لیزینگ ایرانیان پ5/4_م5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200317,سوپر بهارستان شهرک ژاندارمری- 20279,44226820,بلوارمرزداران خ فرشتگان نبش فرشته 1_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200318,سوپر مارکت ستارخان- 20569,44227326,ستارخان-نبش خیابان کاشانی پور-پلاک730...م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200319,سوپر مارکت دریانی- 21003,44227486,مرزداران-خ ابراهیمی-نبش خرم رودی-ضلع جنوب..م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200320,سوپر مارکت سماء- 20632,44227521, ستارخان-خیابان پاك شمالی-روبروی دبستان حائری-پلاک48_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200321,سوپر مارکت گل- 20503,44227625,مرزداران-خیابان ابوالفضل-خ ردایی-خ عباسی-نبش انتظاری-پ7.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200322,سوپر ناصر اشرفی اصفهانی- 20147,44227663,اشرفی اصفهانی بالای پل حكیم خ نسترن آخرآهنگ پ8 _م2جنوب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200323,سوپر 110مرزدارن- 20282,44229248,خ ناهید نبش 12متری اول _م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200324,سوپر مارکت هما- 20901,44229322,اشرفی اصفهانی-بالاتر از حکیم-خیابان آذری-پلاک2_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200325,سوپر آیدین مرزداران- 20316,44229430,انتهای خ ناهید جنب گلستان 5 پ 5_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200326,سوپر مارکت  نوشین فرد- 20334,44229547,فرد ستارخان-خ خسرو شمالی روبروی میدان تره بار جنب خ 15پ54_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200327,سوپرمارکت 2000- 20586,44230011,ستارخان خ سازمان آب جنب مدرسه جانی نسب پلاک 20م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200328,سوپر مارکت ال سون- 20625,44230543,مرزداران - خ ابراهیمی - بعد از خرم رودی - نبش میثاق 2 - پ 170 - م 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200329,سوپر مارکت آرش- 20522,44231497,شهرک ژاندارمری(مرزداران)-خیابان خرم رودی-خیابان آرش-پلاک8.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200330,سوپر شبستری البرز5- 20388,44232618,شهرك ژاندارمری بلوارمرزداران خ البرزنبش البرز5_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200331,سوپر مارکت ایرانیان- 20551,44232677,ستارخان-بلوار شهدای صادقیه شمالی-نبش نان وایی-پلاک21.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200332,سوپر لاله مرزداران - 20787,44233340,35 متری لاله نبش  بوستان 4شرقی پ12 _م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200333,سوپر پروتئین حمید- 20336,44233555,صادقیه بین فلکه 1و2 بلوار شهدای صادقیه شمالی نبش ک مرودشت پ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200334,سوپر تک مرزداران خ ابراهیمی- 20277,44235550,برج الوند _م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200335,سوپر مارکت تک ارمکان- 20489,44236231&09352352036&,اتوبان جلال آْل احمدغرب به شرق قبل پمپ گاز خ ارمكان 1 پ15_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200336,سوپر نگین دریانی اشرفی اصفهانی- 20462,44236276,ازجنوب به شمال300مترقبل مرزداران مقابل برج نگین  پ123/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200337,سوپر مهر ستارخان خسرو جنوبی- 20941,44236610,نبش 29غربی پ26_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200338,سوپر همسایه گلستان- 20935,44236663,بلوارمرزداران زیرپل مرزداران خ گلستان قبل گلستان10پ20_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200339,سوپرمارکت دهنوی - 20952,44236848,اشرفی اصفهانی-قبل ورودی همت شرق خ پارك پ15_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200340,سوپر مارکت خورشید- 20450,44237055,فلكه اول قبل ستارخان خ اسدی جنوبی نبش خ قدیانی پ11_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200341,سوپر مارکت 110آرش- 20274,44237094,مرزداران-خ ابراهیمی-م آرش-خ آرش-کوچه اروند دوم-پلاک2-م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200342,سوپر عدالت ستارخان- 20451,44237275,خسروجنوبی نبش 23غربی ( اسدی) پ50_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200343,سوپر مارکت دریانی- 20278,44237476,مرزداران- زیر پل یادگار- خ ابراهیمی-نبش بلوار خرم رودی _م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200344,سوپر مارکت گلستان- 20506,44238422,ستارخان-بین یادگار وپل تاج-خ رحیمی اصل-خ یکم-خ تکبیری م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200345,سوپر مارکت بیست- 20633,44238690,ستارخان-خیابان كاشانی پور-كوچه دستبان پلاك11_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200346,سوپر امیر اشرفی اصفهانی- 20939,44238756,خ ناهیدخ چهارم پ26_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200347,سوپر شهروند کوچولو محمدعلی- 20433,44238784,جناح-خیابان گلاب-خیابان حسینی-پلاک41..م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200348,سوپر مارکت گلبرگ ممقانی- 20244,44239143,مرزداران-خ دانش-خ جانبازان-خ گلبرگ-نبش گلبگ یکم-پ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200349,سوپر ساوالان بلوارمرزداران- 20964,44239496,خ ابراهیمی خ الوند 13جنب املاك گلپایگانی_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200350,سوپر الوند مرزداران- 20810,44239708,خ ابراهیمی خ الوند یازدهم پ87  _م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200351,سوپر مارکت خرم- 20909,44239911,بلوارمرزداران-خ ابراهیمی قبل چهارراه خرم رودی پ13_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200352,سوپر مارکت نظرلو- 20558,44242381,خیابان حضرت ابولفضل-خیابان ردائی-خیابان عباسی-پلاک18.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200353,سوپر عدالت جلال آل احمد- 20256,44242588,شرق به غرب بعدپمپ گاز خ شایق نبش 5پ58_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200354,سوپر مادر پ 5- 20391,44242763,خ اشرفی اصفهانی اول بلوارمرزداران روبروی بانك پارسیان پ5_م5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200355,سوپر مارکت سامان- 20519,44245455,شهرک ژاندارمری(مرزداران)-خیابان آرش-نبش الوند-پلاک4..م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200356,سوپر مارکت مادر- 20550,44245553,مرزداران-خیابان شایق-پلاک 172.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200357,سوپر مارکت پارس مرزداران - 20281,44248612,مرزداران-خ حضرت ابوالفضل-بوستان6غربی-نبش م گلها پ12_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200358,سوپر مارکت تیریزی- 20936,44248628,بلوارمرزداران-خ حضرتی ابوالفضل-نبش ک بوستان2غربی-پلاک13_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200359,سوپر مارکت رشیدی- 20419,44249603,بلوار مرزداران(شهرک ژاندارمری)-خیابان البرز- البرز2-پلاک4.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200360,سوپر میثاق احمدی بلوارمرزداران- 20957,44250543,آخرابراهیمی خ ساجدی شرقی نبش كوچه میثاق پ32_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200361,سوپرمارکت جوانه - 20585,44251128,ستارخان بعد از پل یادگار خ صحرایی نبش کوچه-صداقت پلاک 3م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200362,سوپر تک هریس - 20351,44253197,بلوار مرزداران خ ابولفضل نبش مسجد ابوالفضلپ14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200363,سوپر پردیس بلوارمرزداران- 20934,44254045,زیرپل مرزداران خ گلستان نبش گلستان 4پ10_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200364,سوپر پروتئین دریانی مرزداران- 20990,44255065,خیابان ابراهیمی نبش جهاد2 پلاك 21روبروی پارك _م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200365,سوپر پروتئین میلاد مرزداران- 20445,44255200,ازشرق به غرب 300متر به خ حضرت ابوالفضل جنب بانك صادرات/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200366,سوپر مارکت حکیم- 20866,44260104,اتوبان حکیم-جنب پارک نهج البلاغه.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200367,سوپر پایتخت ستارخان- 20623,44260735,خسرو جنوبی( صادقی پور ) نبش 23 غربی(اسدی) م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200368,سوپر مارکت سامی- 20867,44262117,مرزداران-خیابان ایثار-خیابان بهار-میدان شریعتی.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200369,سوپر مارکت سبز- 20521,44262212,شهرک ژاندارمری(مرزداران)-خیابان سرسبز جنوبی-پلاک2..م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200370,سوپر مارکت آرام- 20997,44263764,اشرفی اصفهانی-بین همت و حکیم-کوچه آذری-پلاک33.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200371,سوپر رحیمی انتهای جلال ال احمر- 20421,44264282,نرسیده به اشرفی اصفهانی خ شقایق بین ك 5و6 پ78/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200372,فروشگاه افق کوروش- 20786,44265022, فلکه 2صادقیه-ابتدای ستارخان روبروی پاساژ گلدیس پ1007 _م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200373,سوپر مارکت ایده آل- 20955,44265043,بلوارمرزداران-بلوارشهیدآریافر-نبش گلدیس7-پلاک21_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200374,سوپر پرشین ستارخان - 20499,44265465,سازمان آب نرسیده به پارك شاهین پ46/م2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200375,سوپر مارکت کاوه- 20610,44267330,آریاشهر-خیابان سازمان آب-خیابان8شمالی-نبش كوچه5غربی-پلاك8 م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200376,سوپر مارکت تک محله- 20850,44267537,ستارخان-خیابان رحیمی عدل-خیابان هفتم شرقی-پلاک50.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200377,سوپر مرزداران بلوارمرزداران- 20393,44268142,بین خ ایثار و دانش جنب بانک اقتصاد نوین پ146_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200378,سوپر سیمرغ - 20280,44269820,خ البرز روبروی كوچه البرز1پ5_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200379,سوپر مارکت سبلان - 20475,44270395,اشرفی اصفهانی-روبروی تیراژه-خیابان پارک-پلاك 121_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200380,سوپرمارکت ناصر- 21022,44275647,اشرفی اصفهانی بالاتر از حکیم انتهای ک نسترن نبش ک مهاجری,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200381,سوپر مارکت وان ناین- 20996,44278035,خ ابولفضل شمالی-خ رداعی-روبروی مدرسه هویزه-زیر مسجد.م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200382,سوپر مارکت تک شبستری- 21015,44279201,ستارخان خ رحیمی اصل خ تکبیری پ27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30200383,سوپر خورشید ستارخان- 20942,44280074,ستارخان غرب به شرق بعدبرق آلستوم جلو دارایی پ678_م2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
